rule_id,param_name,param_value,position,alert_volume,true_positives,false_positives,precision,recall,false_positive_ratio,alert_rate,delta_alerts,delta_true_positives,marginal_reviews_per_extra_hit
R01_STRUCTURING,min_txn_count,2.000000,LOOSER,2978,132,2846,0.044325,0.160584,21.560606,0.014526,674,2,337.000000
R01_STRUCTURING,min_txn_count,3.000000,BASELINE,2304,130,2174,0.056424,0.158151,16.723077,0.011238,0,0,0.000000
R01_STRUCTURING,min_txn_count,4.000000,TIGHTER,1133,85,1048,0.075022,0.103406,12.329412,0.005526,-1171,-45,26.022222
R01_STRUCTURING,min_txn_count,5.000000,TIGHTER,964,84,880,0.087137,0.102190,10.476190,0.004702,-1340,-46,29.130435
R01_STRUCTURING,min_txn_count,6.000000,TIGHTER,893,84,809,0.094065,0.102190,9.630952,0.004356,-1411,-46,30.673913
R01_STRUCTURING,min_txn_count,8.000000,TIGHTER,518,53,465,0.102317,0.064477,8.773585,0.002527,-1786,-77,23.194805
R02_VELOCITY,min_passthrough_ratio,0.600000,LOOSER,1772,73,1699,0.041196,0.088808,23.273973,0.008643,425,10,42.500000
R02_VELOCITY,min_passthrough_ratio,0.700000,LOOSER,1501,65,1436,0.043304,0.079075,22.092308,0.007321,154,2,77.000000
R02_VELOCITY,min_passthrough_ratio,0.800000,BASELINE,1347,63,1284,0.046771,0.076642,20.380952,0.006570,0,0,0.000000
R02_VELOCITY,min_passthrough_ratio,0.850000,TIGHTER,1256,61,1195,0.048567,0.074209,19.590164,0.006126,-91,-2,45.500000
R02_VELOCITY,min_passthrough_ratio,0.900000,TIGHTER,1082,45,1037,0.041590,0.054745,23.044444,0.005278,-265,-18,14.722222
R02_VELOCITY,min_passthrough_ratio,0.950000,TIGHTER,895,21,874,0.023464,0.025547,41.619048,0.004366,-452,-42,10.761905
R03_ROUND_DOLLAR,min_round_share,0.350000,LOOSER,3072,22,3050,0.007161,0.026764,138.636364,0.014984,909,0,inf
R03_ROUND_DOLLAR,min_round_share,0.450000,LOOSER,2737,22,2715,0.008038,0.026764,123.409091,0.013350,574,0,inf
R03_ROUND_DOLLAR,min_round_share,0.550000,BASELINE,2163,22,2141,0.010171,0.026764,97.318182,0.010550,0,0,0.000000
