model,feature,importance
lightgbm,account_age_days,0.103129
lightgbm,max_gap_days,0.071194
lightgbm,amount_vs_trailing_mean,0.066355
lightgbm,prior_month_amount,0.057677
lightgbm,amount_vs_prior,0.053065
lightgbm,month_of_year,0.042290
lightgbm,peer_ratio_total_amount,0.042129
lightgbm,peer_ratio_max_amount,0.034355
lightgbm,total_amount,0.033839
lightgbm,peer_ratio_avg_amount,0.031452
lightgbm,max_amount,0.030516
lightgbm,count_vs_prior,0.027355
lightgbm,weekend_share,0.027323
lightgbm,credit_amount,0.026968
lightgbm,median_amount,0.026065
xgboost,median_amount,0.227578
xgboost,night_share,0.031448
xgboost,card_share,0.026658
xgboost,near_ctr_count,0.026086
xgboost,round_share,0.022822
xgboost,cash_share,0.021355
xgboost,near_ctr_share,0.021251
xgboost,peer_ratio_cash_amount,0.020790
xgboost,segment_dormant_retail,0.020257
xgboost,total_amount,0.019763
xgboost,avg_amount,0.018728
xgboost,segment_cash_intensive,0.018580
xgboost,wire_share,0.018447
xgboost,passthrough_ratio,0.018323
xgboost,month_of_year,0.018304
