threshold,planted_true_matches,detected_true_matches,recall,alerted_subjects,alert_rows,alert_rate,precision,false_positive_ratio,planted_near_misses,near_misses_alerted,near_miss_alert_rate,escalations
0.700000,140,131,0.935714,23876,38093,0.477520,0.005487,181.259500,1600,1049,0.655625,1187
0.740000,140,129,0.921429,13232,17156,0.264640,0.009749,101.573600,1600,676,0.422500,1187
0.780000,140,129,0.921429,7368,8534,0.147360,0.017508,56.116300,1600,419,0.261875,1187
0.800000,140,129,0.921429,5781,6476,0.115620,0.022314,43.814000,1600,340,0.212500,1187
0.820000,140,128,0.914286,3249,3492,0.064980,0.039397,24.382800,1600,204,0.127500,1187
0.840000,140,127,0.907143,2659,2808,0.053180,0.047762,19.937000,1600,157,0.098125,1187
0.860000,140,127,0.907143,2217,2322,0.044340,0.057285,16.456700,1600,121,0.075625,1187
0.880000,140,121,0.864286,1710,1776,0.034200,0.070760,13.132200,1600,92,0.057500,1187
0.900000,140,118,0.842857,1466,1506,0.029320,0.080491,11.423700,1600,72,0.045000,1187
0.920000,140,117,0.835714,1206,1225,0.024120,0.097015,9.307700,1600,55,0.034375,1187
0.940000,140,100,0.714286,1015,1025,0.020300,0.098522,9.150000,1600,44,0.027500,1025
